coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.26055675920007865,0.12451885036537765,-2.092508551400232,0.03639304759744076,-0.504609221312551,-0.016504297087606312,G,0.001,LogisticRegressionCV(),0.0,0.0,57.599999999999994,0.6,0.2,1.0564537606825144,1.0122230882570986,0.6134706606028019,1.056454,1.012223,0.613471,0.13944324079992138,0.13944324079992138,1
-0.3597833213606349,0.10599052177018337,-3.394485802614919,0.0006875760496691878,-0.5675209267328029,-0.15204571598846697,G,0.01,LogisticRegressionCV(),0.0,0.0,57.599999999999994,1.6,0.8,1.050570495956562,1.0173319915505536,0.5996108982471929,1.05057,1.017332,0.599611,0.04021667863936512,0.04021667863936512,1
-0.36894606962577414,0.110652942636456,-3.334263516497032,0.0008552559064425176,-0.5858218519766045,-0.1520702872749438,G,0.05,LogisticRegressionCV(),0.2,0.0,57.599999999999994,5.6000000000000005,3.2,1.0739414807067418,1.013215347496738,0.5911688594934531,1.073941,1.013215,0.591169,0.03105393037422588,0.03105393037422588,1
-0.313564305516041,0.11031251200854074,-2.842508975697733,0.0044759970747371754,-0.529772856096923,-0.09735575493515891,G,0.1,LogisticRegressionCV(),4.2,0.4,57.599999999999994,11.200000000000001,6.4,1.0518151502292052,1.0099168223614359,0.595420059262127,1.051815,1.009917,0.59542,0.08643569448395905,0.08643569448395905,1
-0.4543693878784818,0.09804607786106073,-4.634243386281705,3.5824531483802457e-06,-0.6465361693115708,-0.26220260644539284,G,0.001,LogisticRegressionCV(),0.0,0.0,56.8,0.2,0.0,1.0045809727090875,1.0323068098247992,0.6064439601407149,1.004581,1.032307,0.606444,-0.05436938787848178,0.05436938787848178,1
-0.49264853665150815,0.09704140902766821,-5.076683671308249,3.840795116780499e-07,-0.6828462033547579,-0.3024508699482584,G,0.01,LogisticRegressionCV(),0.0,0.0,56.8,2.4,1.2,0.9993632759290091,1.0168026192673347,0.6105350007028575,0.999363,1.016803,0.610535,-0.09264853665150813,0.09264853665150813,1
-0.4137376982266361,0.10672480112658261,-3.8766780903711036,0.0001058923095003257,-0.6229144646919378,-0.20456093176133439,G,0.05,LogisticRegressionCV(),0.0,0.0,56.8,7.6,4.3999999999999995,0.9854408931392407,1.0282065218491363,0.6226864777034204,0.985441,1.028207,0.622686,-0.013737698226636064,0.013737698226636064,1
-0.4806912425732094,0.10197456305468232,-4.713834785596934,2.4309779313268376e-06,-0.6805577134995955,-0.28082477164682323,G,0.1,LogisticRegressionCV(),2.4,0.0,56.8,12.2,7.6,1.002032831815418,1.0238545808827917,0.6234759341420889,1.002033,1.023855,0.623476,-0.08069124257320937,0.08069124257320937,1
-0.5480138651098564,0.11812813595635771,-4.639147656679518,3.4984903852636045e-06,-0.7795407571451685,-0.3164869730745443,G,0.001,LogisticRegressionCV(),0.0,0.0,53.6,0.4,0.0,1.0211546015798703,1.0432614758743197,0.6241613444508773,1.021155,1.043261,0.624161,-0.14801386510985637,0.14801386510985637,1
-0.5298576457336769,0.11604243510665647,-4.566067966831928,4.969576975499776e-06,-0.75729663922105,-0.3024186522463038,G,0.01,LogisticRegressionCV(),0.0,0.0,53.6,1.7999999999999998,0.4,1.034496614908539,1.019554787933382,0.6277986592459732,1.034497,1.019555,0.627799,-0.12985764573367686,0.12985764573367686,1
-0.558129990916398,0.1114770778998241,-5.006679412766332,5.537704464340968e-07,-0.7766210487018192,-0.3396389331309768,G,0.05,LogisticRegressionCV(),0.2,0.0,53.6,6.800000000000001,2.0,1.024902855870592,1.0232675145824266,0.6294334115206943,1.024903,1.023268,0.629433,-0.158129990916398,0.158129990916398,1
-0.567565559812672,0.1046982246672684,-5.420966416731504,5.927769651640631e-08,-0.7727703094058012,-0.3623608102195428,G,0.1,LogisticRegressionCV(),1.2,0.0,53.6,11.4,4.8,1.0468495388584331,1.022698996461753,0.6220527131743242,1.04685,1.022699,0.622053,-0.16756555981267196,0.16756555981267196,1
-0.30945265247309683,0.12725066185455275,-2.4318353080693647,0.015022536282409779,-0.5588593667169051,-0.060045938229288554,G,0.001,LogisticRegressionCV(),0.0,0.0,54.800000000000004,0.2,0.0,1.0570241315065967,1.0077448688494228,0.6041492241292767,1.057024,1.007745,0.604149,0.09054734752690319,0.09054734752690319,1
-0.3141866590737455,0.1396596791210338,-2.249659035815632,0.024470597783166053,-0.5879146002433924,-0.04045871790409866,G,0.01,LogisticRegressionCV(),0.0,0.0,54.800000000000004,1.0,0.6,1.0845343476465634,1.0146872372949582,0.6143156024637093,1.084534,1.014687,0.614316,0.08581334092625453,0.08581334092625453,1
-0.3199224136601801,0.12515098618044407,-2.5562915916532405,0.010579442351693922,-0.5652138392035205,-0.07463098811683969,G,0.05,LogisticRegressionCV(),0.4,0.0,54.800000000000004,4.0,3.2,1.0864436721177784,1.0051561963960167,0.6015832692627205,1.086444,1.005156,0.601583,0.08007758633981993,0.08007758633981993,1
-0.35786401258248,0.12701907603129922,-2.81740368269013,0.004841363318888874,-0.6068168269533813,-0.10891119821157871,G,0.1,LogisticRegressionCV(),2.4,0.6,54.800000000000004,8.4,5.800000000000001,1.0952225368435908,1.001916214905633,0.604134437360213,1.095223,1.001916,0.604134,0.042135987417520004,0.042135987417520004,1
