coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated_pop,share_treated_sample,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.34231166375025496,0.13853743707307595,-2.4708964665608173,0.013477483177215855,-0.6138400509239679,-0.07078327657654204,G,0.001,LogisticRegressionCV(),0.0,0.0,57.599999999999994,57.599999999999994,0.6,0.2,1.0487748958570424,1.0123786446161722,,1.048775,1.012379,0.545402,0.057688336249745065,0.057688336249745065,1
-0.34231166375025496,0.13853743707307595,-2.4708964665608173,0.013477483177215855,-0.6138400509239679,-0.07078327657654204,G,0.01,LogisticRegressionCV(),0.0,0.0,57.599999999999994,57.599999999999994,1.6,0.8,1.0487748958570424,1.0123786446161722,,1.048775,1.012379,0.545402,0.057688336249745065,0.057688336249745065,1
-0.3411437989966302,0.14015403576092672,-2.4340633299960746,0.01493038257526432,-0.6158406613759854,-0.06644693661727508,G,0.05,LogisticRegressionCV(),0.6,0.2,57.599999999999994,57.45967741935484,5.6000000000000005,3.2,1.0509059319152563,1.008040179499854,,1.050906,1.00804,0.549445,0.0588562010033698,0.0588562010033698,1
-0.3768587615289675,0.12739629939808436,-2.9581609772774473,0.0030948045966937092,-0.6265509201128947,-0.1271666029450404,G,0.1,LogisticRegressionCV(),10.4,3.2,57.599999999999994,55.32407407407407,11.200000000000001,6.4,1.0336084687950735,1.024053240340108,,1.033608,1.024053,0.591197,0.0231412384710325,0.0231412384710325,1
-0.375974135430855,0.13331352470094157,-2.820225001733823,0.00479899869788649,-0.6372638424967914,-0.11468442836491866,G,0.001,LogisticRegressionCV(),0.0,0.0,56.8,56.8,0.2,0.0,0.9925978105129003,1.0373034035502762,,0.992598,1.037303,0.523313,0.024025864569145017,0.024025864569145017,1
-0.375974135430855,0.13331352470094157,-2.820225001733823,0.00479899869788649,-0.6372638424967914,-0.11468442836491866,G,0.01,LogisticRegressionCV(),0.0,0.0,56.8,56.8,2.4,1.2,0.9925978105129003,1.0373034035502762,,0.992598,1.037303,0.523313,0.024025864569145017,0.024025864569145017,1
-0.31963732377545007,0.12645984872805985,-2.5275795202222677,0.011485181151242304,-0.5674940727728307,-0.0717805747780694,G,0.05,LogisticRegressionCV(),4.2,0.0,56.8,55.11482254697286,7.6,4.3999999999999995,0.9952876361283476,1.0536537070795295,,0.995288,1.053654,0.537518,0.08036267622454996,0.08036267622454996,1
-0.35820273846050404,0.14077896311274832,-2.544433703305681,0.010945508733130441,-0.6341244359423835,-0.08228104097862454,G,0.1,LogisticRegressionCV(),14.6,1.7999999999999998,56.8,51.196172248803826,12.2,7.6,1.0054217548875852,1.0725996876133983,,1.005422,1.0726,0.592784,0.04179726153949598,0.04179726153949598,1
-0.46448618444562867,0.13464497527030564,-3.4497104961633545,0.0005611880267833293,-0.7283854866747139,-0.20058688221654336,G,0.001,LogisticRegressionCV(),0.0,0.0,53.6,53.6,0.4,0.0,1.0407516504254957,1.0333390319664701,,1.040752,1.033339,0.519015,-0.06448618444562865,0.06448618444562865,1
-0.46448618444562867,0.13464497527030564,-3.4497104961633545,0.0005611880267833293,-0.7283854866747139,-0.20058688221654336,G,0.01,LogisticRegressionCV(),0.0,0.0,53.6,53.6,1.7999999999999998,0.4,1.0407516504254957,1.0333390319664701,,1.040752,1.033339,0.519015,-0.06448618444562865,0.06448618444562865,1
-0.454783353347658,0.143279869129079,-3.1740910716351194,0.0015030652150225432,-0.7356067365502652,-0.17395997014505082,G,0.05,LogisticRegressionCV(),4.0,0.6,53.6,51.99161425576519,6.800000000000001,2.0,1.0321947157928144,1.0485916350597482,,1.032195,1.048592,0.54211,-0.05478335334765799,0.05478335334765799,1
-0.4427320546497827,0.137063430693233,-3.2301252960804585,0.0012373597875965274,-0.7113714424060212,-0.1740926668935442,G,0.1,LogisticRegressionCV(),11.600000000000001,5.2,53.6,50.96153846153846,11.4,4.8,1.031133412775754,1.057287652714826,,1.031133,1.057288,0.585214,-0.04273205464978269,0.04273205464978269,1
-0.2637248817262345,0.14317323339148094,-1.841998504043889,0.0654753686950891,-0.5443392627236846,0.016889499271215636,G,0.001,LogisticRegressionCV(),0.0,0.0,54.800000000000004,54.800000000000004,0.2,0.0,1.0876194885317207,1.0106988564586386,,1.087619,1.010699,0.505389,0.13627511827376554,0.13627511827376554,1
-0.2637248817262345,0.14317323339148094,-1.841998504043889,0.0654753686950891,-0.5443392627236846,0.016889499271215636,G,0.01,LogisticRegressionCV(),0.0,0.0,54.800000000000004,54.800000000000004,1.0,0.6,1.0876194885317207,1.0106988564586386,,1.087619,1.010699,0.505389,0.13627511827376554,0.13627511827376554,1
-0.26660602583157944,0.14916112686295335,-1.7873693464151181,0.07387781261776141,-0.558956462376378,0.02574441071321909,G,0.05,LogisticRegressionCV(),2.1999999999999997,1.4000000000000001,54.800000000000004,54.56431535269709,4.0,3.2,1.0946783648286083,1.0087504172775354,,1.094678,1.00875,0.522748,0.13339397416842058,0.13339397416842058,1
-0.3134709741725395,0.17868600659977596,-1.7543118240627384,0.07937709082681524,-0.6636891116493868,0.03674716330430777,G,0.1,LogisticRegressionCV(),12.2,6.6000000000000005,54.800000000000004,52.463054187192114,8.4,5.800000000000001,1.1045536722351177,0.9838231812480953,,1.104554,0.983823,0.594829,0.08652902582746053,0.08652902582746053,1
