coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated_pop,share_treated_sample,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.22529370062255705,0.09414443084179251,-2.3930645563215287,0.016708300983485913,-0.40981339441749226,-0.040774006827621834,E,0.001,LogisticRegressionCV(),0.0,0.0,50.0,50.0,0.0,0.0,1.0491389476453754,1.0024088704664815,,1.049139,1.002409,0.55481,0.17470629937744298,0.17470629937744298,1
-0.22529370062255705,0.09414443084179251,-2.3930645563215287,0.016708300983485913,-0.40981339441749226,-0.040774006827621834,E,0.01,LogisticRegressionCV(),0.0,0.0,50.0,50.0,0.0,0.4,1.0491389476453754,1.0024088704664815,,1.049139,1.002409,0.55481,0.17470629937744298,0.17470629937744298,1
-0.21932472565148495,0.09433274804199497,-2.325011517250045,0.02007134436254135,-0.4042135143764864,-0.0344359369264835,E,0.05,LogisticRegressionCV(),0.2,0.0,50.0,49.899799599198396,0.4,2.6,1.0491389476453756,1.00079259387988,,1.049139,1.000793,0.555835,0.18067527434851507,0.18067527434851507,1
-0.19634245158832478,0.09570221202884571,-2.051597841115156,0.04020876218221318,-0.3839153404056783,-0.00876956277097124,E,0.1,LogisticRegressionCV(),1.0,1.2,50.0,50.10224948875256,3.5999999999999996,8.200000000000001,1.0613088745981516,0.9984004991245397,,1.061309,0.9984,0.565242,0.20365754841167524,0.20365754841167524,0
-0.45110743962381,0.1411549331434965,-3.1958319102118753,0.0013942831361537012,-0.7277660248252223,-0.17444885442239766,E,0.001,LogisticRegressionCV(),0.0,0.0,52.2,52.2,0.0,0.0,0.9962211065019242,1.0261595863270163,,0.996221,1.02616,0.550607,-0.05110743962380998,0.05110743962380998,1
-0.45110743962381,0.1411549331434965,-3.1958319102118753,0.0013942831361537012,-0.7277660248252223,-0.17444885442239766,E,0.01,LogisticRegressionCV(),0.0,0.0,52.2,52.2,0.0,0.4,0.9962211065019242,1.0261595863270163,,0.996221,1.02616,0.550607,-0.05110743962380998,0.05110743962380998,1
-0.3357373549909635,0.10506870312110994,-3.1954078142943088,0.001396333823883213,-0.5416682290106702,-0.12980648097125685,E,0.05,LogisticRegressionCV(),2.8000000000000003,0.2,52.2,51.1340206185567,0.4,2.6,0.9859973547937054,1.036253156650188,,0.985997,1.036253,0.559877,0.0642626450090365,0.0642626450090365,1
-0.33158992371277546,0.11190823856098259,-2.9630519430620907,0.0030460516253570965,-0.5509260408656178,-0.11225380655993311,E,0.1,LogisticRegressionCV(),6.6000000000000005,2.6,52.2,50.0,4.8,7.6,0.9961993292392285,1.0469522429119669,,0.996199,1.046952,0.570826,0.06841007628722456,0.06841007628722456,1
-0.47690983127110775,0.15113519086378396,-3.1555181063088074,0.0016021332178610271,-0.7731293621607114,-0.1806903003815042,E,0.001,LogisticRegressionCV(),0.0,0.0,47.4,47.4,0.0,0.0,1.019584374754182,1.0714515545684076,,1.019584,1.071452,0.556857,-0.07690983127110773,0.07690983127110773,1
-0.47690983127110775,0.15113519086378396,-3.1555181063088074,0.0016021332178610271,-0.7731293621607114,-0.1806903003815042,E,0.01,LogisticRegressionCV(),0.0,0.0,47.4,47.4,0.0,0.2,1.019584374754182,1.0714515545684076,,1.019584,1.071452,0.556857,-0.07690983127110773,0.07690983127110773,1
-0.4732509892601598,0.15272226151797783,-3.0987688668063016,0.0019432655722933475,-0.7725811214729037,-0.17392085704741583,E,0.05,LogisticRegressionCV(),1.0,0.4,47.4,47.05882352941176,1.0,2.0,1.017088059315886,1.0823575444299294,,1.017088,1.082358,0.564217,-0.07325098926015977,0.07325098926015977,1
-0.4274332607414902,0.12681892662227304,-3.370421688038642,0.000750532351872261,-0.6759937894791732,-0.17887273200380718,E,0.1,LogisticRegressionCV(),5.0,7.000000000000001,47.4,48.18181818181818,2.4,6.6000000000000005,1.002775907305893,1.0945925953848348,,1.002776,1.094593,0.586671,-0.027433260741490162,0.027433260741490162,1
-0.6025603894572363,0.12934580076369104,-4.658523012726846,3.1848620779348925e-06,-0.8560735005055642,-0.3490472784089085,E,0.001,LogisticRegressionCV(),0.0,0.0,49.2,49.2,0.0,0.0,1.0860456286574536,1.0022077317374258,,1.086046,1.002208,0.577828,-0.2025603894572363,0.2025603894572363,1
-0.6025603894572363,0.12934580076369104,-4.658523012726846,3.1848620779348925e-06,-0.8560735005055642,-0.3490472784089085,E,0.01,LogisticRegressionCV(),0.0,0.0,49.2,49.2,0.0,0.4,1.0860456286574536,1.0022077317374258,,1.086046,1.002208,0.577828,-0.2025603894572363,0.2025603894572363,1
-0.6013633821216937,0.12986436607505805,-4.630703558619938,3.6442531069272736e-06,-0.8558928625039327,-0.3468339017394547,E,0.05,LogisticRegressionCV(),0.2,0.0,49.2,49.09819639278557,0.2,3.5999999999999996,1.0860456286574536,1.0012605890292188,,1.086046,1.001261,0.578919,-0.2013633821216937,0.2013633821216937,1
