coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated_pop,share_treated_sample,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.4423228173840764,0.13774094892438452,-3.2112659368050225,0.0013215157692426734,-0.7122901164722412,-0.17235551829591167,G,0.001,LogisticRegressionCV(),0.0,0.0,57.599999999999994,57.599999999999994,0.6,0.2,1.1775436748127412,1.0987087720516606,,1.177544,1.098709,0.545402,-0.042322817384076394,0.042322817384076394,1
-0.4363846194656947,0.1369766386166309,-3.1858324446626582,0.0014433816532103427,-0.7048538978776496,-0.16791534105373973,G,0.01,LogisticRegressionCV(),0.0,0.0,57.599999999999994,57.599999999999994,1.6,0.8,1.1651961050815778,1.1110572914594639,,1.165196,1.111057,0.545402,-0.036384619465694656,0.036384619465694656,1
-0.4412076006557502,0.13831003866000408,-3.1899897139088633,0.0014227785763368005,-0.7122902951297008,-0.1701249061817997,G,0.05,LogisticRegressionCV(),0.6,0.2,57.599999999999994,57.45967741935484,5.6000000000000005,3.2,1.1693284901418843,1.11552262212124,,1.169328,1.115523,0.549445,-0.04120760065575019,0.04120760065575019,1
-0.48980424809810297,0.13396909098428392,-3.6560989143052596,0.00025608257600712994,-0.7523788414688691,-0.2272296547273368,G,0.1,LogisticRegressionCV(),10.4,3.2,57.599999999999994,55.32407407407407,11.200000000000001,6.4,1.146114064925781,1.1445715298488401,,1.146114,1.144572,0.591197,-0.08980424809810295,0.08980424809810295,1
-0.43660429666374195,0.194706519998825,-2.242371219342715,0.024937390303915383,-0.8182220634165667,-0.05498652991091718,G,0.001,LogisticRegressionCV(),0.0,0.0,56.8,56.8,0.2,0.0,1.0605539630861023,1.1455577552376925,,1.060554,1.145558,0.523313,-0.03660429666374193,0.03660429666374193,1
-0.4492714920140717,0.1854872215187183,-2.422115595541086,0.01543044127938808,-0.8128197657831624,-0.08572321824498091,G,0.01,LogisticRegressionCV(),0.0,0.0,56.8,56.8,2.4,1.2,1.0781535691777673,1.142032337533152,,1.078154,1.142032,0.523313,-0.04927149201407166,0.04927149201407166,1
-0.29047346741608404,0.13551908661316991,-2.1434137041169774,0.03207989365413024,-0.5560859963956613,-0.02486093843650683,G,0.05,LogisticRegressionCV(),4.2,0.0,56.8,55.11482254697286,7.6,4.3999999999999995,1.0622854189783468,1.1660715699963013,,1.062285,1.166072,0.537518,0.10952653258391598,0.10952653258391598,1
-0.34832000644437616,0.1398251193123911,-2.4911118127936294,0.012734403730415827,-0.6223722044306788,-0.07426780845807363,G,0.1,LogisticRegressionCV(),14.6,1.7999999999999998,56.8,51.196172248803826,12.2,7.6,1.077200183752124,1.1785447968536997,,1.0772,1.178545,0.592784,0.05167999355562386,0.05167999355562386,1
-0.545228563056817,0.15631595483815477,-3.4879904845371135,0.00048666539831446263,-0.8516022047485899,-0.23885492136504405,G,0.001,LogisticRegressionCV(),0.0,0.0,53.6,53.6,0.4,0.0,1.1834003569935931,1.1319079830136398,,1.1834,1.131908,0.519015,-0.14522856305681697,0.14522856305681697,1
-0.5291763406294515,0.14859453248582868,-3.561210037656793,0.00036914962854440927,-0.8204162726012427,-0.23793640865766025,G,0.01,LogisticRegressionCV(),0.0,0.0,53.6,53.6,1.7999999999999998,0.4,1.1898484343516997,1.1200212506741052,,1.189848,1.120021,0.519015,-0.1291763406294515,0.1291763406294515,1
-0.4801110976143717,0.16309734964529002,-2.9437087644804443,0.003243050178819369,-0.7997760288930766,-0.16044616633566672,G,0.05,LogisticRegressionCV(),4.0,0.6,53.6,51.99161425576519,6.800000000000001,2.0,1.1652430825838669,1.1513434897113752,,1.165243,1.151343,0.54211,-0.08011109761437168,0.08011109761437168,1
-0.4125718133131086,0.144906003860777,-2.847168525256551,0.004411000448324678,-0.6965823620238536,-0.1285612646023636,G,0.1,LogisticRegressionCV(),11.600000000000001,5.2,53.6,50.96153846153846,11.4,4.8,1.1892711091935653,1.1797274219750036,,1.189271,1.179727,0.585214,-0.012571813313108582,0.012571813313108582,1
-0.20206364531388848,0.15300037278832257,-1.3206742024965221,0.18661001939667776,-0.5019388656002028,0.09781157497242587,G,0.001,LogisticRegressionCV(),0.0,0.0,54.800000000000004,54.800000000000004,0.2,0.0,1.134757405689816,1.1292563670941078,,1.134757,1.129256,0.505389,0.19793635468611154,0.19793635468611154,1
-0.20713181447797438,0.1510057215356324,-1.371681896365086,0.1701624865561927,-0.5030975901472984,0.08883396119134959,G,0.01,LogisticRegressionCV(),0.0,0.0,54.800000000000004,54.800000000000004,1.0,0.6,1.139010315834962,1.1361381628821767,,1.13901,1.136138,0.505389,0.19286818552202564,0.19286818552202564,1
-0.20261564086624087,0.1586354378900335,-1.277240719735615,0.20151727509262063,-0.5135353858024472,0.10830410406996546,G,0.05,LogisticRegressionCV(),2.1999999999999997,1.4000000000000001,54.800000000000004,54.56431535269709,4.0,3.2,1.1577410447619514,1.1366915631045398,,1.157741,1.136692,0.522748,0.19738435913375915,0.19738435913375915,1
-0.2729545634448057,0.18026073356902436,-1.5142208624169808,0.12996983211343188,-0.6262591090668637,0.08034998217725237,G,0.1,LogisticRegressionCV(),12.2,6.6000000000000005,54.800000000000004,52.463054187192114,8.4,5.800000000000001,1.1516068180521513,1.0616037017564879,,1.151607,1.061604,0.594829,0.12704543655519435,0.12704543655519435,1
