coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.5182987468217277,0.1425486348031854,-3.6359432521913275,0.00027696530354344445,-0.797688937081324,-0.23890855656213145,E,0.05,LogisticRegressionCV(),1.2,1.6,47.4,1.0,2.0,1.1132471238705755,1.162498277860907,0.5631828505889573,1.113247,1.162498,0.563183,-0.1182987468217277,0.1182987468217277,1
-0.4653384081667704,0.13719569472092003,-3.3917857926471373,0.0006943870385109176,-0.7342370286537256,-0.19643978767981513,E,0.1,LogisticRegressionCV(),3.5999999999999996,5.800000000000001,47.4,2.4,6.6000000000000005,1.1159102136238264,1.1745102173225699,0.557559951056287,1.11591,1.17451,0.55756,-0.06533840816677039,0.06533840816677039,1
-0.6160084548591738,0.1310930944155422,-4.699015288376172,2.614188862191074e-06,-0.8729461985355453,-0.35907071118280215,E,0.001,LogisticRegressionCV(),0.0,0.0,49.2,0.0,0.0,1.1400093879765125,1.054973279824904,0.5838036701253272,1.140009,1.054973,0.583804,-0.21600845485917375,0.21600845485917375,1
-0.6497857463106734,0.1872164397871671,-3.4707729035407793,0.0005189626980733088,-1.0167232256073326,-0.2828482670140143,E,0.01,LogisticRegressionCV(),0.0,0.0,49.2,0.0,0.4,1.1265535114701524,1.0890116123195313,0.5873539898290039,1.126554,1.089012,0.587354,-0.2497857463106734,0.2497857463106734,1
-0.5814622940553907,0.17467464842115693,-3.3288304817619023,0.0008721146850142232,-0.9238183139730545,-0.23910627413772695,E,0.05,LogisticRegressionCV(),0.4,0.6,49.2,0.2,3.5999999999999996,1.1158985519838343,1.0810554959563825,0.5769458762879369,1.115899,1.081055,0.576946,-0.18146229405539072,0.18146229405539072,1
-0.6138955304171233,0.15526092813187253,-3.9539601997980105,7.686820151429327e-05,-0.9182013577618552,-0.3095897030723914,E,0.1,LogisticRegressionCV(),1.4000000000000001,2.6,49.2,2.6,8.200000000000001,1.1491157373143321,1.1103824620746139,0.5856161296233133,1.149116,1.110382,0.585616,-0.21389553041712328,0.21389553041712328,1
-0.25718246076853973,0.1646946350578611,-1.5615715756508126,0.11838894997064944,-0.5799780139289152,0.06561309239183583,E,0.001,LogisticRegressionCV(),0.0,0.0,45.800000000000004,0.0,0.0,1.1113912221144586,1.1662190742382539,0.5989302843866995,1.111391,1.166219,0.59893,0.1428175392314603,0.1428175392314603,1
-0.27698799439886984,0.19051698861664731,-1.4538755646417283,0.14598080854510667,-0.650394430530526,0.09641844173278635,E,0.01,LogisticRegressionCV(),0.0,0.0,45.800000000000004,0.0,0.0,1.1265742217368941,1.1856768874038806,0.5939406249511257,1.126574,1.185677,0.593941,0.12301200560113018,0.12301200560113018,1
-0.32591538399874825,0.1679118205587649,-1.9409913067120017,0.05225933183043193,-0.6550165048724796,0.0031857368749831916,E,0.05,LogisticRegressionCV(),0.2,0.6,45.800000000000004,0.4,1.7999999999999998,1.0925402017214234,1.1141010007535617,0.6012126234770465,1.09254,1.114101,0.601213,0.07408461600125177,0.07408461600125177,1
-0.13551079314281836,0.12140403456409304,-1.1161967856288821,0.2643379101111579,-0.3734583284662966,0.1024367421806599,E,0.1,LogisticRegressionCV(),0.0,0.2,45.800000000000004,2.1999999999999997,6.0,1.1116365009201314,1.1052130682988137,0.6022144531580895,1.111637,1.105213,0.602214,0.2644892068571817,0.2644892068571817,0
-0.34962727034296626,0.14793035141900093,-2.3634586613850113,0.018105246438922588,-0.6395654313445618,-0.05968910934137073,E,0.001,LogisticRegressionCV(),0.0,0.0,51.6,0.0,0.0,1.092295202648899,0.9829442164026295,0.5657349671232065,1.092295,0.982944,0.565735,0.050372729657033766,0.050372729657033766,1
-0.2910559592953989,0.1273013090028242,-2.2863548032247007,0.02223351017334739,-0.5405619401257389,-0.04154997846505895,E,0.01,LogisticRegressionCV(),0.0,0.0,51.6,0.0,0.2,1.025333809115556,1.0068558568609491,0.5742278184344307,1.025334,1.006856,0.574228,0.10894404070460112,0.10894404070460112,1
-0.3934988854646627,0.12824552400173816,-3.0683245168020794,0.002152627150560126,-0.6448554936865366,-0.14214227724278883,E,0.05,LogisticRegressionCV(),0.2,0.2,51.6,0.2,3.0,1.050170840897424,0.9736599199764928,0.581601750357273,1.050171,0.97366,0.581602,0.0065011145353373045,0.0065011145353373045,1
-0.33027101418022003,0.12620166196651803,-2.6170100221647057,0.008870373681973942,-0.5776217264236937,-0.08292030193674638,E,0.1,LogisticRegressionCV(),3.2,3.4000000000000004,51.6,4.6,6.6000000000000005,1.0380306363644887,0.9642841778199787,0.5862141884343318,1.038031,0.964284,0.586214,0.06972898581977999,0.06972898581977999,1
-0.29403234647452986,0.12285621906634017,-2.3933045368729573,0.016697375473658606,-0.5348261111213197,-0.05323858182774002,E,0.001,LogisticRegressionCV(),0.0,0.0,47.199999999999996,0.0,0.0,1.1334357837346682,1.0005451996304218,0.6005603693815066,1.133436,1.000545,0.60056,0.10596765352547016,0.10596765352547016,1
-0.29483775473676993,0.11141763021337853,-2.6462396855158308,0.008139212286078454,-0.5132122971977936,-0.07646321227574623,E,0.01,LogisticRegressionCV(),0.0,0.0,47.199999999999996,0.0,0.0,1.1242611140409313,1.005424434001592,0.5880094664134937,1.124261,1.005424,0.588009,0.10516224526323009,0.10516224526323009,1
-0.28324971063364246,0.1195731917213282,-2.3688395915178986,0.017843990672260387,-0.5176088599239487,-0.04889056134333625,E,0.05,LogisticRegressionCV(),0.4,0.6,47.199999999999996,0.2,2.0,1.0977008525962773,1.0279493221433031,0.587492232868281,1.097701,1.027949,0.587492,0.11675028936635756,0.11675028936635756,1
