coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.2503529015191196,0.12702541073499812,-1.9708883448636014,0.04873664855544644,-0.4993181316811235,-0.0013876713571157329,A,0.001,LogisticRegressionCV(),0.0,0.0,53.2,0.0,0.0,1.193159644075142,1.0576487695379524,0.5901027200281703,1.19316,1.057649,0.590103,0.14964709848088042,0.14964709848088042,1
-0.22469144448775075,0.11926835408671906,-1.883915026817419,0.059576470288051256,-0.45845312299309066,0.009070234017589163,A,0.01,LogisticRegressionCV(),0.0,0.0,53.2,0.0,0.0,1.1383835995271157,1.0770786508446037,0.5942767980057506,1.138384,1.077079,0.594277,0.17530855551224928,0.17530855551224928,1
-0.29512981769171887,0.14799279049972214,-1.994217533807993,0.046128286805243085,-0.5851903570427557,-0.005069278340681993,A,0.05,LogisticRegressionCV(),1.2,0.2,53.2,0.4,0.2,1.1457830923046723,1.0779439597909535,0.5928456866629683,1.145783,1.077944,0.592846,0.10487018230828116,0.10487018230828116,1
-0.26566198326179974,0.1206811350334353,-2.201354695480754,0.027710923599455643,-0.5021926615407479,-0.029131304982851575,A,0.1,LogisticRegressionCV(),1.0,0.8,53.2,2.8000000000000003,2.0,1.1489479121282065,1.0646064061872307,0.5861319397593443,1.148948,1.064606,0.586132,0.13433801673820028,0.13433801673820028,1
-0.5018458472576446,0.12087045686066741,-4.1519314172539605,3.296810701037446e-05,-0.738747589499455,-0.2649441050158342,A,0.001,LogisticRegressionCV(),0.0,0.0,54.6,0.0,0.0,1.0830991042810287,1.132139135047474,0.5773476769890874,1.083099,1.132139,0.577348,-0.10184584725764456,0.10184584725764456,1
-0.4595296415855509,0.11359973460757551,-4.045164745965055,5.228634159430134e-05,-0.6821810300697072,-0.23687825310139451,A,0.01,LogisticRegressionCV(),0.0,0.0,54.6,0.0,0.0,1.0742599984394625,1.1466692499623792,0.590962077290737,1.07426,1.146669,0.590962,-0.05952964158555085,0.05952964158555085,1
-0.4736853131820268,0.12135624734988668,-3.9032626957912364,9.490459812558228e-05,-0.711539187286739,-0.23583143907731452,A,0.05,LogisticRegressionCV(),0.2,0.0,54.6,0.2,0.0,1.0405359750757357,1.153982101801383,0.5869322620139065,1.040536,1.153982,0.586932,-0.07368531318202676,0.07368531318202676,1
-0.47496259507938554,0.12237983555174908,-3.881052731751258,0.00010400528503060047,-0.7148226651947482,-0.23510252496402284,A,0.1,LogisticRegressionCV(),4.0,1.0,54.6,3.5999999999999996,1.7999999999999998,1.0514955030641946,1.137341778552021,0.578453557263271,1.051496,1.137342,0.578454,-0.07496259507938552,0.07496259507938552,1
-0.44358511918708415,0.1344644499707046,-3.298902567063092,0.0009706359462101312,-0.7071305983306531,-0.1800396400435152,A,0.001,LogisticRegressionCV(),0.0,0.0,51.6,0.0,0.0,1.0732765991306827,1.1723356123234958,0.5861815000334175,1.073277,1.172336,0.586182,-0.04358511918708413,0.04358511918708413,1
-0.3303190192778459,0.12773596592334077,-2.5859515516255067,0.009711057942382662,-0.5806769120180295,-0.07996112653766235,A,0.01,LogisticRegressionCV(),0.0,0.0,51.6,0.0,0.0,1.0867961821939578,1.162931742165914,0.5761464308561994,1.086796,1.162932,0.576146,0.06968098072215412,0.06968098072215412,1
-0.29280692931400515,0.15320816160641054,-1.9111705684859122,0.05598266478367531,-0.5930894082001621,0.007475549572151796,A,0.05,LogisticRegressionCV(),1.4000000000000001,0.8,51.6,0.4,0.2,1.092018720415095,1.2105488649655267,0.5872859178120352,1.092019,1.210549,0.587286,0.10719307068599487,0.10719307068599487,1
-0.3629860128377447,0.1342707083826723,-2.70338942283102,0.006863628085527322,-0.6261517654464628,-0.09982026022902662,A,0.1,LogisticRegressionCV(),4.0,3.8,51.6,2.4,1.6,1.0704550750319421,1.1857950569267575,0.5854208404647541,1.070455,1.185795,0.585421,0.037013987162255346,0.037013987162255346,1
-0.4631628651795368,0.1431969225013842,-3.2344470613539875,0.0012187851281736317,-0.7438236759792232,-0.1825020543798505,A,0.001,LogisticRegressionCV(),0.0,0.0,53.400000000000006,0.0,0.0,1.1107778104216,1.0940307981336315,0.6110077495146806,1.110778,1.094031,0.611008,-0.06316286517953679,0.06316286517953679,1
-0.5110702545995613,0.12757451683508098,-4.006052833108008,6.174184444923815e-05,-0.7611117129414189,-0.2610287962577038,A,0.01,LogisticRegressionCV(),0.0,0.0,53.400000000000006,0.0,0.0,1.1487264969744353,1.1232693666025084,0.6047743977885548,1.148726,1.123269,0.604774,-0.11107025459956132,0.11107025459956132,1
-0.5247910277713109,0.12809164819028304,-4.096996448915404,4.185453205745596e-05,-0.7758460449446409,-0.27373601059798097,A,0.05,LogisticRegressionCV(),0.2,0.2,53.400000000000006,0.2,0.6,1.1498655246617482,1.1071772643409317,0.6029680860838619,1.149866,1.107177,0.602968,-0.1247910277713109,0.1247910277713109,1
-0.48239717420237666,0.13058448301170195,-3.694138561310903,0.00022063347508484722,-0.738338057845095,-0.22645629055965832,A,0.1,LogisticRegressionCV(),3.4000000000000004,1.6,53.400000000000006,2.8000000000000003,2.1999999999999997,1.1521729039073734,1.087199568073754,0.6114849166173508,1.152173,1.0872,0.611485,-0.08239717420237663,0.08239717420237663,1
