coef,std err,t,P>|t|,2.5 %,97.5 %,scenario,trim_value,learner,share_trimmed_top,share_trimmed_bottom,share_treated_pop,share_treated_sample,share_trim_orcl_top,share_trim_orcl_bottom,loss_ml_g0,loss_ml_g1,loss_ml_m,loss_g0,loss_g1,loss_m,bias,abs_bias,in_ci
-0.2801100687972357,0.11484035011467192,-2.4391258692396574,0.014722839115734758,-0.505193018993963,-0.05502711860050849,A,0.001,LogisticRegressionCV(),0.0,0.0,53.2,53.2,0.0,0.0,1.1360554799466571,1.0870060295269106,,1.136055,1.087006,0.587704,0.11988993120276431,0.11988993120276431,1
-0.2715741991936952,0.1136926403296097,-2.388670000154508,0.016909483208695814,-0.49440767954699627,-0.04874071884039413,A,0.01,LogisticRegressionCV(),0.0,0.0,53.2,53.2,0.0,0.0,1.143979367438068,1.085140402370355,,1.143979,1.08514,0.587704,0.12842580080630484,0.12842580080630484,1
-0.27479543407373175,0.11449107291912941,-2.400147252247632,0.016388477724643143,-0.4991938135465745,-0.050397054600889,A,0.05,LogisticRegressionCV(),0.0,0.0,53.2,53.2,0.4,0.2,1.134257972571011,1.0722892970885958,,1.134258,1.072289,0.587704,0.12520456592626827,0.12520456592626827,1
-0.27064139863146786,0.11432223122662905,-2.3673558128423533,0.01791569943676212,-0.4947088544679211,-0.04657394279501459,A,0.1,LogisticRegressionCV(),0.4,0.2,53.2,53.118712273641854,2.8000000000000003,2.0,1.1307726495708665,1.0883627581484736,,1.130773,1.088363,0.590709,0.12935860136853217,0.12935860136853217,1
-0.5995335780480152,0.14174803731862864,-4.2295723410995265,2.3413598060730216e-05,-0.8773546260717668,-0.32171253002426353,A,0.001,LogisticRegressionCV(),0.0,0.0,54.6,54.6,0.0,0.0,1.0606598795028372,1.151206717614955,,1.06066,1.151207,0.574947,-0.1995335780480152,0.1995335780480152,1
-0.5961423073014491,0.141201183066885,-4.221935640716728,2.422132769686117e-05,-0.8728915406869906,-0.3193930739159076,A,0.01,LogisticRegressionCV(),0.0,0.0,54.6,54.6,0.0,0.0,1.0424010307436615,1.1425347744238588,,1.042401,1.142535,0.574947,-0.1961423073014491,0.1961423073014491,1
-0.5799288240075892,0.1367542219885663,-4.240664862661978,2.2285867662691387e-05,-0.8479621738389747,-0.31189547417620367,A,0.05,LogisticRegressionCV(),0.8,0.0,54.6,54.233870967741936,0.2,0.0,1.0440964114149194,1.1485919593094123,,1.044096,1.148592,0.579266,-0.17992882400758914,0.17992882400758914,1
-0.47635754837513467,0.10967733272162031,-4.343263430596101,1.403816330076952e-05,-0.6913211704299269,-0.2613939263203425,A,0.1,LogisticRegressionCV(),3.2,0.8,54.6,53.95833333333333,3.5999999999999996,1.7999999999999998,1.054529851934947,1.1594371020830254,,1.05453,1.159437,0.584982,-0.07635754837513464,0.07635754837513464,1
-0.36432323610516854,0.12870662029368887,-2.8306487675135785,0.00464537023386691,-0.6165835764526708,-0.11206289575766631,A,0.001,LogisticRegressionCV(),0.0,0.0,51.6,51.6,0.0,0.0,1.0735765135716402,1.1666778075541875,,1.073577,1.166678,0.583463,0.03567676389483149,0.03567676389483149,1
-0.3467319265070602,0.1304981702443389,-2.6569868823283493,0.00788425107856187,-0.602503640234341,-0.09096021277977939,A,0.01,LogisticRegressionCV(),0.0,0.0,51.6,51.6,0.0,0.0,1.0729320116061078,1.1717712464268677,,1.072932,1.171771,0.583463,0.05326807349293983,0.05326807349293983,1
-0.38081996480241553,0.1300038407364987,-2.929297801087964,0.0033972876425286593,-0.6356228104978341,-0.12601711910699692,A,0.05,LogisticRegressionCV(),0.8,0.2,51.6,51.31313131313131,0.4,0.2,1.0693322900805344,1.1926161541729698,,1.069332,1.192616,0.588994,0.01918003519758449,0.01918003519758449,1
-0.33709986503780437,0.1311594071228247,-2.5701539251555627,0.010165333688097801,-0.594167579232167,-0.08003215084344173,A,0.1,LogisticRegressionCV(),2.8000000000000003,2.8000000000000003,51.6,52.118644067796616,2.4,1.6,1.0875579974296616,1.1661127665674818,,1.087558,1.166113,0.603982,0.06290013496219565,0.06290013496219565,1
-0.44678939441119764,0.1592207617119194,-2.806100094029073,0.005014511299263511,-0.7588563529575937,-0.1347224358648016,A,0.001,LogisticRegressionCV(),0.0,0.0,53.400000000000006,53.400000000000006,0.0,0.0,1.1491087765712822,1.085318111861068,,1.149109,1.085318,0.613903,-0.046789394411197616,0.046789394411197616,1
-0.4521882366065601,0.1542182356954418,-2.9321320826128825,0.0033664353855937666,-0.7544504243289354,-0.14992604888418481,A,0.01,LogisticRegressionCV(),0.0,0.0,53.400000000000006,53.400000000000006,0.0,0.0,1.1483735102146897,1.073018838168199,,1.148374,1.073019,0.613903,-0.05218823660656008,0.05218823660656008,1
-0.46620505791574535,0.15750473876054527,-2.959943056853151,0.003076959094185917,-0.7749086732808039,-0.15750144255068677,A,0.05,LogisticRegressionCV(),0.2,0.2,53.400000000000006,53.41365461847389,0.2,0.6,1.1610708499008795,1.0713132973415649,,1.161071,1.071313,0.616258,-0.06620505791574532,0.06620505791574532,1
-0.5232882277104078,0.12554346338679906,-4.168183779494423,3.0703634068951994e-05,-0.769348894442957,-0.2772275609778588,A,0.1,LogisticRegressionCV(),1.7999999999999998,1.7999999999999998,53.400000000000006,53.941908713692946,2.8000000000000003,2.1999999999999997,1.1572447869821485,1.0847954846338221,,1.157245,1.084795,0.623444,-0.12328822771040782,0.12328822771040782,1
